"order_id,region_id,city,courier_id,lng,lat,aoi_id,aoi_type,accept_time,accept_gps_time,accept_gps_lng,accept_gps_lat,delivery_time,delivery_gps_time,delivery_gps_lng,delivery_gps_lat,ds"
"3687996,31,Jilin,4849,126.5695,43.85019,235,14,05-19 15:18:00,05-19 15:18:00,126.56603,43.87084,05-19 17:19:00,05-19 17:19:00,126.5714,43.84761,0519"
"798252,31,Jilin,435,126.56342,43.86723,570,1,08-16 07:58:00,08-16 07:58:00,126.56605,43.87071,08-16 14:12:00,08-16 14:12:00,126.56231,43.86732,0816"
"4132304,31,Jilin,435,126.56192,43.86768,570,1,09-20 08:15:00,09-20 08:15:00,126.56604,43.87107,09-20 11:49:00,09-20 11:49:00,126.56176,43.86772,0920"
"175628,31,Jilin,435,126.56327,43.8671,570,1,05-29 14:19:00,05-29 14:19:00,126.56588,43.87114,05-29 15:16:00,05-29 15:16:00,126.56363,43.86758,0529"
"3766002,31,Jilin,435,126.56358,43.86725,570,1,07-14 08:32:00,07-14 08:32:00,126.56607,43.87075,07-14 09:54:00,07-14 09:54:00,126.5623,43.86749,0714"
"2836703,31,Jilin,435,126.56311,43.86753,570,1,07-08 08:15:00,07-08 08:15:00,126.56618,43.8707,07-08 11:28:00,07-08 11:28:00,126.56374,43.86595,0708"
"4000673,31,Jilin,435,126.56067,43.85821,1530,14,09-28 08:30:00,09-28 08:30:00,126.56612,43.87074,09-28 15:39:00,09-28 15:39:00,126.56615,43.871,0928"
"776100,31,Jilin,435,126.56157,43.85794,1530,14,08-14 08:21:00,08-14 08:21:00,126.56616,43.87099,08-14 14:23:00,08-14 14:23:00,126.56118,43.85871,0814"
"2697259,31,Jilin,4849,126.56968,43.84902,1696,14,05-27 15:17:00,05-27 15:17:00,126.56626,43.87112,05-27 16:00:00,05-27 16:00:00,126.57441,43.84926,0527"
"2555766,31,Jilin,435,126.57466,43.88177,2236,14,07-31 14:14:00,07-31 14:14:00,126.55457,43.87411,07-31 14:21:00,07-31 14:21:00,126.55215,43.87387,0731"
"155309,31,Jilin,1558,126.57404,43.88331,2236,14,09-04 10:48:00,09-04 10:48:00,126.56629,43.87085,09-04 11:31:00,09-04 11:31:00,126.57481,43.88364,0904"
"61581,31,Jilin,4849,126.56877,43.83918,2928,13,07-04 08:02:00,07-04 08:02:00,126.56606,43.8707,07-04 14:12:00,07-04 14:12:00,126.56963,43.83993,0704"
"1135510,31,Jilin,4849,126.568,43.83942,2928,13,08-23 09:03:00,08-23 09:03:00,126.56635,43.87061,08-23 13:02:00,08-23 13:02:00,126.56761,43.83937,0823"
"2209868,31,Jilin,4849,126.56875,43.83921,2928,13,07-21 07:49:00,07-21 07:49:00,126.56616,43.87076,07-21 10:36:00,07-21 10:36:00,126.56956,43.83947,0721"
"195253,31,Jilin,4849,126.58388,43.84558,4310,1,09-01 09:21:00,09-01 09:21:00,126.56602,43.87106,09-01 16:14:00,09-01 16:14:00,126.58475,43.84367,0901"
"2852028,31,Jilin,4849,126.57843,43.8419,5182,1,09-18 08:16:00,09-18 08:16:00,126.56608,43.87093,09-18 13:31:00,09-18 13:31:00,126.5783,43.84292,0918"
"1055237,31,Jilin,4849,126.57692,43.84241,5182,1,08-01 07:55:00,08-01 07:55:00,126.56601,43.87095,08-01 12:58:00,08-01 12:58:00,126.57806,43.84326,0801"
"1592087,31,Jilin,4849,126.57889,43.84121,5182,1,08-21 09:14:00,08-21 09:14:00,126.56624,43.87113,08-21 11:57:00,08-21 11:57:00,126.57864,43.84131,0821"
"1426746,31,Jilin,4849,126.57957,43.84138,5182,1,09-29 08:23:00,09-29 08:23:00,126.56607,43.871,09-29 14:41:00,09-29 14:41:00,126.5798,43.84134,0929"
"2991881,31,Jilin,4849,126.57855,43.84144,5182,1,07-25 07:38:00,07-25 07:38:00,126.56601,43.87084,07-25 12:00:00,07-25 12:00:00,126.5779,43.84156,0725"
"409749,31,Jilin,4849,126.58394,43.84322,5569,1,09-29 08:23:00,09-29 08:23:00,126.56624,43.87093,09-29 15:29:00,09-29 15:29:00,126.58376,43.84309,0929"
"3852916,31,Jilin,435,126.56099,43.87008,5704,14,08-11 12:21:00,08-11 12:21:00,126.56636,43.87068,08-11 13:09:00,08-11 13:09:00,126.56072,43.87008,0811"
"101960,31,Jilin,1558,126.5666,43.88029,5932,14,09-08 12:07:00,09-08 12:07:00,126.56593,43.87084,09-08 12:13:00,09-08 12:13:00,126.5669,43.88011,0908"
"1139715,31,Jilin,949,126.58912,43.84971,6393,1,08-19 08:07:00,08-19 08:07:00,126.56613,43.87119,08-19 09:50:00,08-19 09:50:00,126.5914,43.85227,0819"
"3853789,31,Jilin,4849,126.5758,43.84068,7493,14,06-09 09:37:00,06-09 09:37:00,126.56596,43.87108,06-09 14:22:00,06-09 14:22:00,126.57601,43.84045,0609"
"1457210,31,Jilin,4849,126.56972,43.83961,7771,14,05-29 14:34:00,05-29 14:34:00,126.56608,43.87104,05-29 17:08:00,05-29 17:08:00,126.56952,43.83923,0529"
"1280113,31,Jilin,4849,126.57023,43.83887,7782,1,08-08 08:53:00,08-08 08:53:00,126.5662,43.87092,08-08 13:01:00,08-08 13:01:00,126.56946,43.83905,0808"
"1530672,31,Jilin,4322,126.54505,43.87779,8103,1,06-18 08:11:00,06-18 08:11:00,126.56588,43.87119,06-18 08:53:00,06-18 08:53:00,126.54564,43.87665,0618"
"4332282,31,Jilin,4849,126.57562,43.85334,8472,1,08-18 07:54:00,08-18 07:54:00,126.56627,43.87099,08-18 09:44:00,08-18 09:44:00,126.57555,43.85334,0818"
"224565,31,Jilin,4849,126.57648,43.85116,8472,1,08-27 10:08:00,08-27 10:08:00,126.56623,43.87076,08-27 11:15:00,08-27 11:15:00,126.57695,43.85115,0827"
"3066200,31,Jilin,4849,126.57428,43.84925,8472,1,05-16 09:25:00,05-16 09:25:00,126.56626,43.87084,05-16 10:56:00,05-16 10:56:00,126.57468,43.84933,0516"
"1007826,31,Jilin,1558,126.55233,43.86878,9502,1,10-13 15:12:00,10-13 15:12:00,126.5662,43.87074,10-13 20:00:00,10-13 20:00:00,126.55889,43.86956,1013"
"3519084,31,Jilin,3073,126.55423,43.86731,9502,1,05-31 13:06:00,05-31 13:06:00,126.56583,43.87073,05-31 15:41:00,05-31 15:41:00,126.55441,43.86713,0531"
"4066803,31,Jilin,3073,126.55541,43.86761,9502,1,06-18 13:06:00,06-18 13:06:00,126.56595,43.87097,06-18 15:28:00,06-18 15:28:00,126.55518,43.86789,0618"
"1524150,31,Jilin,3073,126.54874,43.86616,9502,1,05-30 13:38:00,05-30 13:38:00,126.56582,43.87061,05-30 17:00:00,05-30 17:00:00,126.54842,43.86608,0530"
"3254121,31,Jilin,3073,126.55061,43.86789,9502,1,06-08 09:51:00,06-08 09:51:00,126.56602,43.87077,06-08 13:45:00,06-08 13:45:00,126.55021,43.868,0608"
"3644127,31,Jilin,949,126.59599,43.85474,10080,14,06-14 08:05:00,06-14 08:05:00,126.56604,43.87124,06-14 11:58:00,06-14 11:58:00,126.59573,43.85472,0614"
